Question,Answer,Accuracy,LastAsked
"What is the fundamental problem that sorting algorithms aim to solve?","To rearrange the entries of an input array, A, into increasing order.",0.3600,1767042261465
"In the context of sorting, what does 'input' typically refer to?","An array A of items that can be compared, such as integers or names.",0.0000,
"Describe the first step of the Selection Sort algorithm for an array A.","Go through all elements of A, find the smallest one, and put it in the first position.",0.0000,
"After placing the smallest element in the first position, what is the second step of Selection Sort?","Go through all the remaining elements, find the smallest among them, and put it in the second position.",0.4880,1767042511195
"In the Python implementation of `selectionSort(A)`, what is the purpose of the `findMin(i, A)` function call?","It finds the index of the smallest element in the subarray A[i], A[i+1], ..., A[len(A)-1].",0.0000,
"What action is performed by `swap(i, imin, A)` within the `selectionSort` algorithm?","It swaps the element at the current position `i` with the smallest element found in the rest of the array, which is at index `imin`.",1.0000,1767032294027
"What is the primary action in each step of the Insertion Sort algorithm?","To pick an element A[i] and insert it into its correct sorted position within the initial part of the array A[0],...,A[i-1].",1.0000,1767032384056
"In Insertion Sort, when inserting element `A[i]`, what happens to the elements in the already sorted portion `A[0,...,i-1]`?","Starting from A[i-1], elements are moved one position to the right until the correct position for A[i] is found.",0.0000,
"In the provided Python implementation, what is the role of the `insert(v, A, h)` function?","It inserts the value `v` into its correct ordered position within the already sorted subarray A[0],...,A[h-1].",0.0000,
"How is the efficiency of an algorithm measured in a machine-independent way?","By counting the number of basic steps or operations the algorithm takes as a function of its input size, n.",0.0000,
"Why does algorithm analysis typically focus on large values of n (input size)?","Because for large inputs, efficiency matters most, and this focus also helps to simplify the analysis by highlighting the dominant terms.",0.0000,
"Running time is expressed as a function of input size. For sorting, what is the primary focus of analysis?","The worst-case scenario, as it provides an upper bound on performance.",0.0000,
"What does 'time complexity' of an algorithm refer to?","It is the function describing the number of steps an algorithm takes in the worst case, indicating how the running time grows with input size.",0.0000,
"In the context of the sorted search problem, what is the required input?","A sorted array of integers, A, and an integer value, v, to search for.",0.3904,1767042271933
"What is the expected output of a sorted search algorithm if the value `v` is found in array `A`?","It should return the position (index) of `v` in `A`.",0.0000,
"If the value `v` is not in the array `A`, what should a sorted search algorithm return?","It should return -1.",0.0000,
"How does a linear search algorithm operate on a sorted array?","It scans the array from left to right until it finds the value, finds an element greater than the value, or reaches the end of the array.",0.0000,
"What is the running time (time complexity) of linear search on a sorted array of size n in the worst case?","The running time is $\Theta(n)$ because in the worst case, it must examine every element.",0.0000,
"Describe the core mechanic of the Binary Search algorithm.","It repeatedly divides the search interval in half by comparing the target value to the middle element of the array.",0.2880,1767042266698
"In binary search, if the target value `v` is greater than the middle element, which part of the array is searched next?","The search is repeated only on the elements *before* the middle one.",1.0000,1767033084522
"In binary search, if the target value `v` is less than the middle element, which part of the array is searched next?","The search is repeated only on the elements *after* the middle one.",1.0000,1767032376548
"What mathematical function describes how many times a number `n` can be divided by 2 until it reaches 1?","The logarithm base 2 of n, denoted as $\log_2(n)$.",0.0000,
"What is the worst-case time complexity of the binary search algorithm for an array of size n?","The time complexity is $\Theta(\log(n))$.",0.0000,
"When comparing two algorithms, why is the 'order of growth' of their running time functions the primary focus for large inputs?","Because for large n, the term with the highest order of growth dominates the function's value, making constant factors and lower-order terms insignificant.",1.0000,1767032391532
"What is the primary benefit of using $\Theta$-notation in algorithm analysis?","It allows for the comparison of different running times simply by ignoring constant factors and non-dominant terms, focusing on the order of growth.",0.0000,
"An algorithm with a running time of $5\log n + 7$ is said to have what time complexity in $\Theta$-notation?","$\Theta(\log n)$.",0.0000,
"An algorithm with a running time of $n^2 + 1$ is said to have what time complexity in $\Theta$-notation?","$\Theta(n^2)$.",0.0000,
"What is the time complexity in $\Theta$-notation for an algorithm that always takes 4242 steps, regardless of input size?","$\Theta(1)$, which represents constant time.",1.0000,1767032379241
"Formally, what does it mean for a function $f(n)$ to be in $O(g(n))$?","There exist a constant c>0 and a positive integer N such that for all n>N, $f(n) < c \cdot g(n)$.",0.0000,
"Formally, what does it mean for a function $f(n)$ to be in $\Theta(g(n))$?","There exist constants c>0, d>0, and a positive integer N such that for all n>N, $c \cdot g(n) < f(n) < d \cdot g(n)$.",0.0000,
"While linear search has a worst-case running time of $\Theta(n)$, it is also correct to say it runs in $O(n^2)$. Why?","Because Big O provides an upper bound, and $n^2$ grows faster than $n$, making it a valid (though not tight) upper bound.",0.0000,
"What is the time complexity of Selection Sort, and why?","$\Theta(n^2)$, because it involves a sum of comparisons $(n-1) + (n-2) + ... + 1$, which is equal to $\frac{n(n-1)}{2}$.",0.0000,
"What is the worst-case time complexity of Insertion Sort?","$\Theta(n^2)$, which occurs when the input array is sorted in reverse order.",0.0000,
"What is a divide-and-conquer strategy in algorithm design?","It is a strategy where the input is split (often in half), the problem is solved on the smaller pieces recursively, and the results are combined.",0.0000,
"The Master Method is used to compute the complexity of what type of functions?","It is used for recursive functions that fit the template of 'a' recursive calls on inputs of size n/b, with a combination step taking $O(n^d)$.",1.0000,1767032389177
"In the Master Method recurrence $T(n) \le a \cdot T(n/b) + O(n^d)$, what does the parameter 'a' represent?","The number of recursive calls made in each step.",0.0000,
"In the Master Method recurrence $T(n) \le a \cdot T(n/b) + O(n^d)$, what does the parameter 'b' represent?","The factor by which the input size shrinks in each recursive call (input size shrinkage factor).",0.0000,
"In the Master Method recurrence $T(n) \le a \cdot T(n/b) + O(n^d)$, what does the parameter 'd' represent?","The exponent in the running time of the step that combines the results of the recursive calls.",0.0000,
"According to the Master Theorem, if $a = b^d$, what is the complexity $T(n)$?","$T(n)$ is $O(n^d \log n)$.",0.3600,1767042507644
"According to the Master Theorem, if $a < b^d$, what is the complexity $T(n)$?","$T(n)$ is $O(n^d)$.",0.0000,
"According to the Master Theorem, if $a > b^d$, what is the complexity $T(n)$?","$T(n)$ is $O(n^{\log_b a})$.",0.0000,
"When applying the Master Method to Binary Search, what are the values for a, b, and d?","a=1 (one recursive call), b=2 (input size is halved), and d=0 (combination step is constant time).",1.0000,1767032381680
"When applying the Master Method to Merge Sort, what are the values for a, b, and d?","a=2 (two recursive calls), b=2 (input is halved), and d=1 (merging takes linear time).",0.0000,
"What is the primary disadvantage of using a standard array as a data structure?","Its length is fixed and cannot be changed after creation.",0.0000,
"What is the difference between an Abstract Data Type (ADT) and a Data Structure?","An ADT gives an outside view of a data object (what it does), while a Data Structure gives an inside view (how it works).",1.0000,1767032397723
"In the 'naive' implementation of an array list, what is the major inefficiency when changing the list's length?","It requires making a complete copy of the internal array for every operation that changes its size, which has a complexity of $\Theta(n)$.",0.0000,
"How does a 'better attempt' at an array list implementation improve efficiency over the naive version?","It uses an internal array with a larger capacity than the number of elements and a counter, only resizing (copying) the array when the capacity is reached.",0.0000,
"What is the worst-case complexity for the `append(e)` operation in a standard array list implementation?","$\Theta(n)$, which occurs when the internal array is full and needs to be resized.",0.0000,
"What is the complexity of the `insert(i, e)` operation in an array list in the worst case?","$\Theta(n)$, as it may require shifting all subsequent elements one position to the right.",0.0000,
"The `get(i)` and `set(i, e)` operations in an array list have what time complexity?","$\Theta(1)$, because they involve direct memory access via an index.",1.0000,1767033193229
"A Stack is an Abstract Data Type that follows the _____ principle.","LIFO (last-in-first-out)",0.0000,
"What are the two primary operations for modifying a stack?","`push(e)` for adding an element to the top, and `pop()` for removing the element from the top.",0.0000,
"Why is implementing a stack's `push` operation using an array list's `insert(0, e)` inefficient?","Because `insert(0, e)` has a complexity of $\Theta(n)$, as it requires shifting all existing elements.",1.0000,1767033094085
"What is the efficient way to implement stack operations `push` and `pop` using an array list?","Implement `push(e)` using `inList.append(e)` and `pop()` by removing the last element (`inList.remove(top)`).",0.0000,
"A Queue is an Abstract Data Type that follows the _____ principle.","FIFO (first-in-first-out)",1.0000,1767033088807
"What are the two primary operations for modifying a queue?","`enq(e)` for adding an element to the tail, and `deq()` for removing an element from the head.",1.0000,1767032636496
"How is a linked list fundamentally different from an array in its structure?","A linked list uses a chain of nodes, where each node stores data and a pointer (reference) to the next node, rather than contiguous memory.",1.0000,1767032373478
"What is a major advantage of linked lists over arrays regarding insertions and deletions?","Appending, prepending, and inserting elements are generally more efficient as they only require updating pointers, not shifting elements.",1.0000,1767033090448
"What is a major advantage of arrays over linked lists?","Accessing elements at arbitrary positions (`get(i)`) is more efficient in arrays ($\Theta(1)$) than in linked lists ($\Theta(n)$).",0.0000,
"In a singly linked list, what is the time complexity of the `get(i)` operation?","$\Theta(n)$, because it requires traversing the list from the head node to the i-th position.",0.0000,
"How can the `append(e)` operation on a linked list be improved from $\Theta(n)$ to $\Theta(1)$?","By maintaining an additional pointer to the tail (last node) of the list.",0.0000,
"How does a doubly linked list differ from a singly linked list?","In a doubly linked list, each node contains a pointer to both the next node and the previous node in the sequence.",0.0000,
"What operation's performance is significantly improved by using a doubly linked list with a tail pointer, compared to a singly linked list?","The `get(n-1)` operation (accessing the last element) becomes $O(1)$ instead of $\Theta(n)$.",1.0000,1767033155859
"What is the core idea behind Dynamic Programming (DP)?","It is a technique for building fast algorithms by reusing the results of subproblems that have already been computed, combining recursion with memoisation.",0.0000,
"In the context of dynamic programming, what is 'memoisation'?","The process of storing the results of expensive function calls (intermediate results) and returning the cached result when the same inputs occur again.",0.0000,
"Why is the naive recursive implementation of the Fibonacci sequence `fib(n) = fib(n-1) + fib(n-2)` hugely inefficient?","It recomputes the same Fibonacci numbers many times, leading to an exponential number of recursive calls.",0.0000,
"How does dynamic programming reduce the complexity of computing Fibonacci numbers from exponential to linear ($\Theta(n)$)?","By storing each computed `fib(k)` in a map or array, it ensures that each Fibonacci number is calculated only once.",1.0000,1767033201072
"What is the difference between a top-down and a bottom-up approach in dynamic programming?","Top-down uses recursion with memoisation, while bottom-up uses iteration to fill a table of solutions starting from the base cases.",0.0000,
"The `fibDPBU` function computes Fibonacci numbers bottom-up. How does it ensure `memo[i-1]` and `memo[i-2]` are available when computing `memo[i]`?","It iterates with a loop from the base cases (i=2) up to n, so the smaller values are always computed before they are needed.",0.0000,
"Dynamic programming is typically used for _____ problems that can be solved by recursion.","optimisation",0.0000,
"In the DP solution for the 'Least Coin Split' problem, `coinSplitMem(m, i, memo)`, what does the key `(m,i)` in the memoisation table represent?","It represents the subproblem of finding the minimum coins for amount `m` using coins from index `i` onwards.",1.0000,1767032386383
"What is the time complexity of the dynamic programming solution to the Least Coin Split problem, where `m` is the amount and `n` is the number of coin types?","$O(m \cdot n)$.",0.0000,
"In the bottom-up DP solution for the Least Coin Split problem, why must the loops iterate from smaller to larger `m` and larger to smaller `i`?","This order ensures that when calculating `memo[m,i]`, the required subproblems (`memo[m,i+1]` and `memo[m-coin[i],i]`) have already been computed.",0.0000,
"In an optimisation problem, what are the two distinct things we often care about finding?","The optimal solution's value (e.g., the minimum number of coins) and the optimal solution itself (e.g., the set of coins).",1.0000,1767032288805
"What is the core principle of a greedy algorithm?","To build an optimal solution by making what seems to be the best possible choice at each individual step (a locally optimal choice).",0.0000,
"Describe the greedy algorithm for the 'Least Coin Split' problem.","Repeatedly pick the largest coin whose value does not exceed the remaining amount until the amount becomes zero.",1.0000,1767033149062
"Is the greedy solution for the 'Least Coin Split' problem always correct for any set of coin denominations?","No, it is not. Its correctness depends on the specific properties of the coin system; for some systems, it fails to find the optimal solution.",0.0000,
"For which problem is the following a greedy strategy: 'at each step, select the event with the earliest end time possible'?","The Event Scheduling problem, where the goal is to maximise the number of scheduled, non-overlapping events.",0.0000,
"In the greedy solution for event scheduling, what does the recursive call `scheduleGDRec(E, minEndPos+1, E[minEndPos].endTime)` represent?","It represents finding the optimal schedule for the remaining events that start after the greedily chosen event (the one at `minEndPos`) has finished.",0.0000,
"What is the primary strength of greedy algorithms compared to dynamic programming for problems where they work correctly?","They are often simpler to design and can be much faster (e.g., $O(m+n)$ vs $O(m \cdot n)$ for coin splitting).",1.0000,1767033009443
"The technique of cutting down the number of solutions to look at by making choices (like in greedy algorithms) is known as _____.","pruning",0.0000,
"What does the `searchLast(A, k)` function from `lecture1.pdf` do?","It searches an array `A` for the value `k` starting from the end, returning the index of the last occurrence or -1 if not found.",1.0000,1767033153560